wavelength_muv calibration_curve solar_continuum co_cameron co2_uvd o_2972 no_nightglow
2.347268284977022859e+02 2.988544918510507007e-04 1.919701397418975830e-01 8.607503026723861694e-02 0.000000000000000000e+00 0.000000000000000000e+00 6.340794265270233154e-02
2.353882285075579262e+02 2.979147967755033577e-04 2.270496785640716553e-01 7.204575836658477783e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.719200849533081055e-02
2.360496285174135380e+02 2.975295178894597141e-04 2.305199950933456421e-01 6.435078382492065430e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.352722823619842529e-01
2.367110285272691499e+02 2.973279788713256385e-04 2.210836559534072876e-01 8.347123116254806519e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.348609805107116699e-01
2.373724285371247902e+02 2.968471812107968959e-04 2.264239490032196045e-01 1.609279066324234009e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.284010052680969238e-01
2.380338285469804305e+02 2.967707468044014879e-04 2.057359665632247925e-01 1.759687662124633789e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.142053693532943726e-01
2.386952285568360708e+02 2.966409509184836910e-04 1.948765963315963745e-01 1.579850614070892334e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.897058665752410889e-02
2.393566285666916826e+02 2.960876850427832953e-04 2.046275734901428223e-01 2.688858807086944580e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.407720386981964111e-02
2.400180285765472945e+02 2.958065823040725482e-04 1.940734386444091797e-01 2.874766290187835693e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.511815428733825684e-02
2.406794285864029348e+02 2.961131974638732444e-04 1.902027726173400879e-01 2.136124819517135620e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.473378837108612061e-02
2.413408285962585751e+02 2.965673455513509558e-04 2.071360945701599121e-01 2.568201720714569092e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.326597183942794800e-01
2.420022286061141870e+02 2.964509084253096624e-04 2.649394869804382324e-01 2.675660252571105957e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.248752325773239136e-01
2.426636286159697988e+02 2.962789204130414898e-04 3.007446527481079102e-01 1.842731535434722900e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.954925715923309326e-02
2.433250286258254391e+02 2.963426306156087802e-04 2.944852709770202637e-01 1.550041437149047852e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.315078631043434143e-02
2.439864286356810794e+02 2.965845301554238117e-04 2.817252874374389648e-01 1.498623937368392944e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.394116625189781189e-02
2.446478286455367197e+02 2.972430773919015217e-04 2.658346295356750488e-01 1.152228638529777527e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.871459349989891052e-02
2.453092286553923316e+02 2.980865063985446576e-04 2.324087172746658325e-01 9.927263110876083374e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.068373002111911774e-02
2.459706286652479434e+02 2.988343753230434698e-04 2.193636745214462280e-01 1.025180146098136902e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.144027948379516602e-02
2.466320286751035837e+02 2.995283882521648160e-04 2.218451648950576782e-01 8.039138466119766235e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.063841223716735840e-01
2.472934286849592240e+02 2.997172890480655563e-04 2.360317260026931763e-01 6.191287562251091003e-02 0.000000000000000000e+00 0.000000000000000000e+00 6.213200688362121582e-01
2.479548286948148643e+02 2.997133100147482561e-04 2.310041934251785278e-01 5.732952430844306946e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.096190452575683594e-01
2.486162287046704762e+02 2.997832108040045414e-04 2.062212675809860229e-01 4.993416741490364075e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.913757860660552979e-01
2.492776287145260881e+02 3.004211897183986404e-04 2.117826938629150391e-01 4.736609384417533875e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.040144339203834534e-01
2.499390287243817284e+02 3.011245832047406302e-04 2.535162270069122314e-01 5.348148196935653687e-02 0.000000000000000000e+00 0.000000000000000000e+00 6.713110208511352539e-02
2.506004287342373686e+02 3.016638637546684588e-04 2.512704432010650635e-01 4.650409892201423645e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.963794931769371033e-02
2.512618287440929805e+02 3.022110952385786173e-04 2.247325032949447632e-01 5.085216835141181946e-02 0.000000000000000000e+00 0.000000000000000000e+00 6.894730776548385620e-02
2.519232287539486208e+02 3.026397316984419080e-04 1.947283446788787842e-01 7.649784535169601440e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.839222788810729980e-02
2.525846287638042327e+02 3.032884494823120751e-04 1.874671876430511475e-01 6.639587879180908203e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.164734393358230591e-02
2.532460287736598730e+02 3.042763886066865691e-04 2.039803564548492432e-01 5.860591679811477661e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.845394797623157501e-02
2.539074287835155133e+02 3.055766725027842575e-04 2.284473478794097900e-01 8.189493417739868164e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.101940616965293884e-02
2.545688287933711251e+02 3.061615849746911894e-04 2.492364346981048584e-01 7.571979612112045288e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.161107748746871948e-02
2.552302288032267370e+02 3.062979618732370639e-04 2.864363193511962891e-01 5.410859733819961548e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.846072480082511902e-03
2.558916288130823773e+02 3.068261928190960369e-04 3.426151871681213379e-01 5.594225227832794189e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.226914793252944946e-02
2.565530288229380176e+02 3.074237617095437747e-04 3.891584575176239014e-01 5.547749251127243042e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.069528400897979736e-02
2.572144288327936579e+02 3.084641917979465500e-04 4.633412361145019531e-01 4.226886481046676636e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.856172248721122742e-02
2.578758288426492982e+02 3.100195460303067723e-04 4.908427596092224121e-01 4.610570147633552551e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.895568475127220154e-02
2.585372288525048816e+02 3.115334490048624386e-04 4.979795813560485840e-01 5.460475012660026550e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.721161305904388428e-01
2.591986288623605219e+02 3.130969960438206769e-04 4.703631401062011719e-01 4.084383696317672729e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.648226559162139893e-01
2.598600288722161622e+02 3.144639423347460024e-04 4.060080051422119141e-01 3.392553701996803284e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.617766201496124268e-01
2.605214288820717456e+02 3.160436214960473983e-04 3.674764037132263184e-01 3.972977772355079651e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.445895135402679443e-01
2.611828288919274428e+02 3.173073179476864790e-04 3.540857136249542236e-01 3.462878614664077759e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.648520052433013916e-02
2.618442289017830262e+02 3.187568365494943988e-04 3.831789493560791016e-01 2.520820498466491699e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.036175481975078583e-02
2.625056289116386665e+02 3.206850968786262388e-04 4.301455020904541016e-01 2.411393076181411743e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.958682626485824585e-02
2.631670289214943068e+02 3.221240555843751232e-04 4.571962058544158936e-01 2.576995827257633209e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.654774814844131470e-02
2.638284289313498903e+02 3.237149391688433461e-04 6.765114068984985352e-01 2.067510597407817841e-02 0.000000000000000000e+00 0.000000000000000000e+00 5.315444618463516235e-02
2.644898289412055306e+02 3.255830045970824291e-04 8.908383846282958984e-01 1.830272749066352844e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.790755964815616608e-02
2.651512289510611708e+02 3.277381095332702020e-04 8.868710994720458984e-01 2.396136522293090820e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.668563067913055420e-02
2.658126289609168111e+02 3.305036083648212508e-04 9.336836934089660645e-01 2.367235720157623291e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.447273444384336472e-03
2.664740289707724514e+02 3.330826668782477804e-04 9.268501400947570801e-01 1.755007170140743256e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.987314969301223755e-02
2.671354289806280349e+02 3.361913706929800624e-04 9.010170102119445801e-01 1.861068233847618103e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.809890151023864746e-02
2.677968289904836752e+02 3.396118945653001705e-04 9.087542295455932617e-01 1.968678086996078491e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.696794830262660980e-02
2.684582290003393155e+02 3.435197168523373935e-04 8.865570425987243652e-01 1.459618192166090012e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.670923948287963867e-02
2.691196290101949558e+02 3.475497365917645820e-04 8.580263257026672363e-01 1.293333154171705246e-02 0.000000000000000000e+00 0.000000000000000000e+00 6.226764246821403503e-02
2.697810290200505960e+02 3.518657324827142736e-04 8.516041040420532227e-01 1.432609278708696365e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.556787803769111633e-02
2.704424290299061795e+02 3.566770262934288198e-04 9.047202467918395996e-01 1.180417090654373169e-02 0.000000000000000000e+00 0.000000000000000000e+00 6.725287437438964844e-02
2.711038290397618198e+02 3.621841566775217463e-04 8.758222460746765137e-01 1.034356933087110519e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.147982552647590637e-01
2.717652290496174601e+02 3.682858442026555774e-04 7.535380125045776367e-01 1.406440977007150650e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.879404634237289429e-01
2.724266290594731004e+02 3.755648729283263547e-04 6.561301946640014648e-01 1.406498346477746964e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.776236593723297119e-01
2.730880290693287407e+02 3.825574185792730256e-04 7.045103311538696289e-01 1.017997041344642639e-02 0.000000000000000000e+00 0.000000000000000000e+00 9.646037220954895020e-02
2.737494290791843241e+02 3.893103365247258625e-04 6.316847801208496094e-01 1.065573282539844513e-02 2.787055336739285849e-06 0.000000000000000000e+00 4.060225188732147217e-02
2.744108290890399644e+02 3.966946170237006406e-04 4.944186508655548096e-01 1.336060836911201477e-02 4.310963049647398293e-05 0.000000000000000000e+00 3.541107848286628723e-02
2.750722290988956047e+02 4.043598504399996949e-04 4.832161366939544678e-01 1.048611663281917572e-02 1.070226207957603037e-04 0.000000000000000000e+00 3.211233392357826233e-02
2.757336291087512450e+02 4.118104120699700812e-04 5.750968456268310547e-01 7.881997153162956238e-03 2.144752506865188479e-04 0.000000000000000000e+00 3.854284808039665222e-02
2.763950291186068853e+02 4.192109718628385709e-04 6.868388056755065918e-01 8.758417330682277679e-03 3.537165175657719374e-04 0.000000000000000000e+00 0.000000000000000000e+00
2.770564291284624687e+02 4.264413432441649756e-04 7.229589223861694336e-01 8.932279422879219055e-03 5.160524160601198673e-04 0.000000000000000000e+00 0.000000000000000000e+00
2.777178291383181090e+02 4.349621410598343866e-04 6.694761514663696289e-01 6.717523094266653061e-03 7.055973401293158531e-04 0.000000000000000000e+00 0.000000000000000000e+00
2.783792291481737493e+02 4.437214104970975794e-04 5.366725921630859375e-01 6.963510066270828247e-03 9.275053744204342365e-04 0.000000000000000000e+00 0.000000000000000000e+00
2.790406291580293896e+02 4.525456541161450904e-04 4.131452143192291260e-01 1.027146633714437485e-02 1.188367954455316067e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.797020291678850299e+02 4.612990097782464390e-04 2.980413436889648438e-01 9.472419507801532745e-03 1.496894867159426212e-03 0.000000000000000000e+00 0.000000000000000000e+00
